scenario,observations,annual_return,annual_volatility,return_to_volatility,ending_wealth_per_dollar,return_delta_vs_baseline,volatility_delta_vs_baseline
Baseline,12.0,0.1166819519424731,0.0497045818264821,2.253313394547613,1.116681951942473,0.0,0.0
Higher costs,12.0,0.09041201745134408,0.0497045818264821,1.7704605242874107,1.090412017451344,-0.02626993449112902,0.0
Downside stress,12.0,0.0177678941943602,0.09646289913272828,0.22806695836218918,1.0177678941943602,-0.0989140577481129,0.046758317306246175
